year,week,mosquito_index
2013,14,0.160567
2013,15,0.160567
2013,16,0.160567
2013,17,0.160567
2013,18,0.160567
2013,19,0.160567
2013,20,0.160567
2013,21,0.160567
2013,22,0.160567
2013,23,0.160567
2013,24,0.160567
2013,25,1.0
2013,26,1.0
2013,27,1.0
2013,28,2
2013,29,1
2013,30,1
2013,31,1
2013,32,3
2013,33,4
2013,34,4
2013,35,16
2013,36,37
2013,37,18
2013,38,6
2013,39,1
2013,40,0.160567
2013,41,1
2013,42,0.160567
2013,43,0.160567
2013,44,0.160567
2014,14,0.160567
2014,15,0.160567
2014,16,0.160567
2014,17,0.160567
2014,18,0.160567
2014,19,0.160567
2014,20,0.160567
2014,21,0.160567
2014,22,0.160567
2014,23,1.0
2014,24,1.0
2014,25,2.0
2014,26,9.0
2014,27,16.0
2014,28,13.0
2014,29,9.0
2014,30,18.0
2014,31,21.0
2014,32,18.0
2014,33,17.0
2014,34,20.0
2014,35,37.0
2014,36,29.0
2014,37,22.0
2014,38,25.0
2014,39,23.0
2014,40,9.0
2014,41,1.0
2014,42,0.160567
2014,43,0.160567
2014,44,0.160567
2015,14,0.160567
2015,15,0.160567
2015,16,0.160567
2015,17,0.160567
2015,18,0.160567
2015,19,0.160567
2015,20,0.160567
2015,21,0.160567
2015,22,0.160567
2015,23,1.0
2015,24,2.0
2015,25,3.0
2015,26,8.0
2015,27,11.0
2015,28,24.0
2015,29,35.0
2015,30,30.0
2015,31,62.0
2015,32,37.0
2015,33,40.0
2015,34,52.0
2015,35,40.0
2015,36,17.0
2015,37,31.0
2015,38,13.0
2015,39,6.0
2015,40,3.0
2015,41,1.0
2015,42,0.160567
2015,43,1.0
2015,44,0.160567
2016,14,0.160567
2016,15,0.160567
2016,16,0.160567
2016,17,0.160567
2016,18,0.160567
2016,19,0.160567
2016,20,0.160567
2016,21,0.160567
2016,22,0.160567
2016,23,1.0
2016,24,1.0
2016,25,1.0
2016,26,4.0
2016,27,7.0
2016,28,8.0
2016,29,8.0
2016,30,6.0
2016,31,12.0
2016,32,16.0
2016,33,17.0
2016,34,12.0
2016,35,14.0
2016,36,18.0
2016,37,7.0
2016,38,2.0
2016,39,1.0
2016,40,1.0
2016,41,0.160567
2016,42,0.160567
2016,43,0.160567
2016,44,0.160567
2016,45,0.160567
2017,14,0.160567
2017,15,0.160567
2017,16,0.160567
2017,17,0.160567
2017,18,0.160567
2017,19,0.160567
2017,20,0.160567
2017,21,0.160567
2017,22,0.160567
2017,23,0.160567
2017,24,1.0
2017,25,2.0
2017,26,5.0
2017,27,4.0
2017,28,12.0
2017,29,8.0
2017,30,8.0
2017,31,5.0
2017,32,6.0
2017,33,7.0
2017,34,11.0
2017,35,10.0
2017,36,4.0
2017,37,2.0
2017,38,2.0
2017,39,1.0
2017,40,0.160567
2017,41,0.160567
2017,42,0.160567
2017,43,0.160567
2017,44,0.160567
2018,14,0.160567
2018,15,0.160567
2018,16,0.160567
2018,17,0.160567
2018,18,0.160567
2018,19,0.160567
2018,20,0.160567
2018,21,0.160567
2018,22,0.160567
2018,23,0.160567
2018,24,0.160567
2018,25,0.160567
2018,26,1.0
2018,27,5.0
2018,28,3.0
2018,29,5.0
2018,30,9.0
2018,31,7.0
2018,32,18.0
2018,33,33.0
2018,34,45.0
2018,35,30.0
2018,36,16.0
2018,37,11.0
2018,38,2.0
2018,39,1
2018,40,0.160567
2018,41,0.160567
2018,42,0.160567
2018,43,0.160567
2018,44,0.160567
2019,14,0.160567
2019,15,0.160567
2019,16,0.160567
2019,17,0.160567
2019,18,0.160567
2019,19,0.160567
2019,20,0.160567
2019,21,0.160567
2019,22,0.160567
2019,23,1.0
2019,24,2.0
2019,25,1.0
2019,26,5.0
2019,27,11.0
2019,28,8.0
2019,29,6.0
2019,30,8.0
2019,31,9.0
2019,32,8.0
2019,33,6.0
2019,34,5.0
2019,35,7.0
2019,36,6.0
2019,37,4.0
2019,38,3.0
2019,39,1.0
2019,40,1.0
2019,41,0.160567
2019,42,0.160567
2019,43,0.160567
2019,44,0.160567
2020,14,0.160567
2020,15,0.160567
2020,16,0.160567
2020,17,0.160567
2020,18,0.160567
2020,19,0.160567
2020,20,0.160567
2020,21,0.160567
2020,22,0.160567
2020,23,0.160567
2020,24,1.0
2020,25,1.0
2020,26,2.0
2020,27,4.0
2020,28,4.0
2020,29,5.0
2020,30,6.0
2020,31,4.0
2020,32,5.0
2020,33,5.0
2020,34,3.0
2020,35,6.0
2020,36,6.0
2020,37,6.0
2020,38,3.0
2020,39,1.0
2020,40,0.160567
2020,41,0.160567
2020,42,0.160567
2020,43,0.160567
2020,44,0.160567
2021,14,0.160567
2021,15,0.160567
2021,16,0.160567
2021,17,0.160567
2021,18,0.160567
2021,19,0.160567
2021,20,1.0
2021,21,0.160567
2021,22,0.160567
2021,23,0.160567
2021,24,2.0
2021,25,3.0
2021,26,7.0
2021,27,7.0
2021,28,10.0
2021,29,8.0
2021,30,9.0
2021,31,4.0
2021,32,6.0
2021,33,9.0
2021,34,5.0
2021,35,5.0
2021,36,6.0
2021,37,6.0
2021,38,4.0
2021,39,1.0
2021,40,1.0
2021,41,0.160567
2021,42,0.160567
2021,43,0.160567
2021,44,0.160567
2022,14,0.160567
2022,15,0.160567
2022,16,0.160567
2022,17,0.160567
2022,18,0.160567
2022,19,0.160567
2022,20,0.160567
2022,21,0.160567
2022,22,0.160567
2022,23,0.160567
2022,24,1.0
2022,25,1.0
2022,26,3.0
2022,27,7.0
2022,28,6.0
2022,29,5.0
2022,30,4.0
2022,31,6.0
2022,32,7.0
2022,33,8.0
2022,34,5.0
2022,35,4.0
2022,36,4.0
2022,37,4.0
2022,38,2.0
2022,39,1.0
2022,40,0.160567
2022,41,0.160567
2022,42,0.160567
2022,43,0.160567
2022,44,0.160567
2023,14,0.1
2023,15,0.160567
2023,16,0.1
2023,17,0.160567
2023,18,0.160567
2023,19,0.1
2023,20,0.1
2023,21,0.1
2023,22,0.2
2023,23,1.2
2023,24,1.9
2023,25,7.1
2023,26,9.2
2023,27,8.4
2023,28,6.2
2023,29,4.5
2023,30,4.4
2023,31,1.6
2023,32,2.0
2023,33,5.0
2023,34,8.1
2023,35,5.5
2023,36,3.2
2023,37,1.7
2023,38,1.0
2023,39,0.3
2023,40,0.1
2023,41,0.1
2023,42,0.1
2023,43,0.1
2023,44,0.160567
2024,14,0.160567
2024,15,0.1
2024,16,0.160567
2024,17,0.160567
2024,18,0.1
2024,19,0.1
2024,20,0.1
2024,21,0.1
2024,22,0.1
2024,23,1.6
2024,24,2.9
2024,25,5.5
2024,26,15.6
2024,27,18.2
2024,28,15.3
2024,29,10.4
2024,30,6.5
2024,31,5.8
2024,32,7.8
2024,33,8.6
2024,34,6.9
2024,35,7.8
2024,36,3.3
2024,37,2.1
2024,38,0.8
2024,39,0.6
2024,40,0.2
2024,41,0.1
2024,42,0.160567
2024,43,0.160567
2024,44,0.160567
2025,14,0.160567
2025,15,0.160567
2025,16,0.160567
2025,17,0.160567
2025,18,0.160567
2025,19,0.160567
2025,20,0.1
2025,21,0.1
2025,22,0.1
2025,23,0.2
2025,24,1.2
2025,25,1.7
2025,26,3.7
2025,27,7.2
2025,28,7.3
2025,29,3.2
2025,30,5.6
2025,31,7.2
2025,32,7.2
2025,33,11.3
2025,34,7.9
2025,35,5.3
2025,36,5.0
2025,37,3.1
2025,38,2.7
2025,39,0.8
2025,40,0.4
2025,41,0.2
2025,42,0.2
2025,43,0.2
2025,44,0.1
